,precision,recall,f1-score,support
Acute COPD exacerbation / infection,1.0,1.0,1.0,2153.0
Acute dystonic reactions,1.0,1.0,1.0,3302.0
Acute laryngitis,0.9825741363497401,0.999067454149829,0.9907521578298397,3217.0
Acute otitis media,1.0,1.0,1.0,3516.0
Acute pulmonary edema,1.0,1.0,1.0,2598.0
Acute rhinosinusitis,0.9517482517482517,0.74412247129579,0.8352255293034673,1829.0
Allergic sinusitis,1.0,1.0,1.0,2411.0
Anaphylaxis,1.0,1.0,1.0,3799.0
Anemia,1.0,1.0,1.0,6842.0
Atrial fibrillation,1.0,1.0,1.0,2831.0
Boerhaave,1.0,1.0,1.0,2083.0
Bronchiectasis,1.0,1.0,1.0,2454.0
Bronchiolitis,1.0,1.0,1.0,36.0
Bronchitis,0.9997218358831711,1.0,0.9998608985950758,3594.0
Bronchospasm / acute asthma exacerbation,1.0,1.0,1.0,2222.0
Chagas,1.0,1.0,1.0,1077.0
Chronic rhinosinusitis,0.8509691769939625,0.9748816891153986,0.9087207329487614,2747.0
Cluster headache,1.0,0.9996460176991151,0.9998229775181448,2825.0
Croup,1.0,0.9941860465116279,0.9970845481049563,344.0
Ebola,1.0,1.0,1.0,100.0
Epiglottitis,1.0,0.9995769881556683,0.9997884493336154,2364.0
GERD,1.0,1.0,1.0,3543.0
Guillain-Barré syndrome,1.0,1.0,1.0,2601.0
HIV (initial infection),1.0,1.0,1.0,3919.0
Influenza,1.0,1.0,1.0,3554.0
Inguinal hernia,1.0,1.0,1.0,2751.0
Larygospasm,0.9974587039390089,1.0,0.9987277353689568,785.0
Localized edema,1.0,1.0,1.0,3734.0
Myasthenia gravis,1.0,1.0,1.0,2215.0
Myocarditis,1.0,1.0,1.0,1478.0
PSVT,1.0,1.0,1.0,2443.0
Pancreatic neoplasm,1.0,1.0,1.0,2585.0
Panic attack,1.0,1.0,1.0,3387.0
Pericarditis,1.0,1.0,1.0,3095.0
Pneumonia,1.0,1.0,1.0,3542.0
Possible NSTEMI / STEMI,0.9993127147766323,0.9989694263139814,0.9991410410582374,2911.0
Pulmonary embolism,1.0,1.0,1.0,3679.0
Pulmonary neoplasm,1.0,1.0,1.0,1918.0
SLE,1.0,1.0,1.0,1564.0
Sarcoidosis,1.0,1.0,1.0,2902.0
Scombroid food poisoning,1.0,1.0,1.0,2486.0
Spontaneous pneumothorax,1.0,1.0,1.0,1343.0
Spontaneous rib fracture,1.0,1.0,1.0,778.0
Stable angina,0.9798767967145791,1.0,0.9898361335822443,2386.0
Tuberculosis,1.0,1.0,1.0,2080.0
URTI,1.0,0.9998856227839414,0.9999428081212468,8743.0
Unstable angina,0.9992937853107344,0.9826388888888888,0.9908963585434174,2880.0
Viral pharyngitis,0.9996377249124502,0.9932805375569954,0.996448991874812,8334.0
Whooping cough,1.0,1.0,1.0,549.0
accuracy,0.9951385946524541,0.9951385946524541,0.9951385946524541,0.9951385946524541
macro avg,0.9951141454413986,0.9935970437239027,0.994005068615975,134529.0
weighted avg,0.99545256777226,0.9951385946524541,0.9950313110025593,134529.0
